# source_id_1_1       ra_1_1             dec_1_1             phot_g_mean_mag_1 phot_bp_mean_mag_1 phot_rp_mean_mag_1 _2MASS           Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag objID             gmag    e_gmag rmag_2  e_rmag imag    e_imag zmag    e_zmag ymag    e_ymag
  6048986722274110336 245.5254892836134  -25.35602059689513  12.457456         13.400455          11.498746          16220610-2521215 9.999  0.023  9.236  0.024  9.007  0.019  77572455253983236 13.8052 0.0035 12.661  0.0    12.0    0.0    11.555  0.0    11.324  0.0   
  6048811384526784640 244.88074257451552 -25.303663050264735 12.458527         13.453444          11.463135          16193139-2518127 9.888  0.024  9.185  0.022  8.896  0.024  77632448807686062 13.861  0.0127 13.067  0.0    12.213  0.0    11.6    0.0    11.331  0.0   
  6048582071935151104 245.33000622031673 -25.852432279107358 12.493557         13.120215          11.724763          16211919-2551086 10.632 0.022  10.191 0.021  10.0   0.02   76972453299867411 13.3356 0.0    12.781  0.0    12.284  0.0    11.939  0.0    11.791  0.0   
  6048579902968436608 244.99499215997702 -25.680851565342202 12.496605         13.093486          11.736739          16195879-2540510 10.633 0.027  10.239 0.022  10.047 0.021  77182449952793150 13.7018 0.0011 13.1598 0.001  13.1311 0.001  0.0     0.0    11.7261 0.001 
  6050063556471749888 244.96988310619932 -24.139773700347895 12.526305         14.286529          11.263758          16195277-2408231 9.061  0.023  7.974  0.049  7.593  0.02   79032449698942629 14.9204 0.0051 13.038  0.0    11.913  0.0    11.137  0.0    10.727  0.0   
  6048584060503045760 245.4656385401943  -25.770584371963732 12.526932         13.4474745         11.580849          16215174-2546140 10.088 0.02   9.368  0.023  9.138  0.019  77072454655755440 13.8412 0.0022 13.4306 0.001  13.9029 0.0925 12.8018 0.001  11.4687 0.001 
  6048884162751307776 244.42576439078178 -25.00429868372771  12.534189         13.550555          11.539419          16174219-2500152 9.92   0.022  9.175  0.022  8.894  0.021  77992444257785176 14.0274 0.0043 12.946  0.0    12.154  0.0    11.597  0.0    11.333  0.0   
  6049219616875740416 245.61426442316602 -24.78536774156073  12.565185         14.296465          11.317572          16222741-2447073 8.954  0.019  7.752  0.046  7.314  0.021  78252456142598014 15.0799 0.0029 13.453  0.0    12.149  0.0    11.229  0.0    10.755  0.0   
  6048884948725662592 244.43344216700368 -24.94680005576915  12.572047         13.537733          11.601749          16174403-2456483 10.049 0.023  9.285  0.022  9.039  0.019  78062444334454169 13.9541 0.0028 12.838  0.0    12.137  0.0    11.661  0.0    11.418  0.0   
  6048953908721113344 246.36814511266152 -25.26244288011173  12.617363         13.483888          11.687494          16252836-2515430 10.206 0.022  9.631  0.021  9.375  0.021  77682463681605629 13.7993 0.0024 14.2467 0.0291 12.0659 0.0129 12.9334 0.0415 11.498  0.001 
